"","year","site","variety","tree","branch","rn","1","2","3","4","5","6","7","8","9","10","11","12","AUDPCm"
"178",2016,"gera","74165",3,"bot",1,0,0,1.34,1.96700854700854,6.25,6.57,0.65,0.65,0.65,0,0,0,18.0770085470085
"179",2016,"gera","74165",3,"mid",1,0,0,1.31026862026862,0,4.07026862026862,4.39026862026862,0.12,0.12,0,0,0,0,10.0108058608059
"180",2016,"gera","74165",3,"top",1,0,0,0.65,0,0.407264957264957,0.727264957264957,0,0,0,0,0,0,1.78452991452991
"181",2016,"gera","744",1,"bot",1,0,0.369999999999999,3.26,4.49,6.02,6.34,0.369999999999999,0,0,0,0,0,20.85
"182",2016,"gera","744",1,"mid",1,0,0.89,1.27,2.5,4.03,4.35,0.89,0.89,0.89,0,0,0,15.71
"183",2016,"gera","744",1,"top",1,0,0,0,0,1.81,2.13,0,0,0,0,0,0,3.94
"184",2016,"gera","744",2,"bot",1,0,0,0.29,0.29,1.82,2.14,0,0,0,0,0,0,4.54
"185",2016,"gera","744",2,"mid",1,0,0,0.87,0.87,0.57,0.89,0,0,0,0,0,0,3.2
"186",2016,"gera","744",2,"top",1,0,0,0,0,0.91,1.23,0,0,0,0,0,0,2.14
"187",2016,"gera","744",3,"bot",1,0,0.56,2.71991452991453,3.94991452991453,5.47991452991453,5.79991452991453,0.56,0.56,0.56,0,0,0,20.1896581196581
"188",2016,"gera","744",3,"mid",1,0,0,0.49,0.49,2.02,2.34,0,0,0,0,0,0,5.34
"189",2016,"gera","744",3,"top",1,0,0,0,0,0.91,1.23,0,0,0,0,0,0,2.14
"190",2016,"gera","7440",1,"bot",1,0,0.23,1.02,1.02,1.02,1.34,0.23,0.23,0.23,0,0,0,5.32
"191",2016,"gera","7440",1,"mid",1,0,0.91,0.91,0.91,0.91,1.23,0.91,0,0,0,0,0,5.78
