"","site","year","month","variety","tree","branch","incidence","severity","sld"
"324","agaro",2016,4,"L-03",3,"bot",0,0,0
"325","agaro",2016,4,"L-54",1,"top",0,0,0
"326","agaro",2016,4,"L-54",1,"mid",0,0,0
"327","agaro",2016,4,"L-54",1,"bot",10,2,2.67311538461538
"328","agaro",2016,4,"L-54",2,"top",0,0,0
"329","agaro",2016,4,"L-54",2,"mid",0,0,0
"330","agaro",2016,4,"L-54",2,"bot",11,3,1
"331","agaro",2016,4,"L-54",3,"top",0,0,0
"332","agaro",2016,4,"L-54",3,"mid",0,0,0
"333","agaro",2016,4,"L-54",3,"bot",10,1.2,1
"334","agaro",2016,4,"L-45",1,"top",0,0,0
"335","agaro",2016,4,"L-45",1,"mid",0,0,0
"336","agaro",2016,4,"L-45",1,"bot",10,2.1,2.1
"337","agaro",2016,4,"L-45",2,"top",0,0,0
"338","agaro",2016,4,"L-45",2,"mid",0,0,0
"339","agaro",2016,4,"L-45",2,"bot",12,3.2,1.3
"340","agaro",2016,4,"L-45",3,"top",0,0,0
"341","agaro",2016,4,"L-45",3,"mid",0,0,0
"342","agaro",2016,4,"L-45",3,"bot",10,1.34,1.2
"343","agaro",2016,4,"7440",1,"top",0,0,0
"344","agaro",2016,4,"7440",1,"mid",0,0,0
"345","agaro",2016,4,"7440",1,"bot",0,0,0
"346","agaro",2016,4,"7440",2,"top",0,0,0
"347","agaro",2016,4,"7440",2,"mid",0,0,0
"348","agaro",2016,4,"7440",2,"bot",13,2.1,1.2
"349","agaro",2016,4,"7440",3,"top",0,0,0
"350","agaro",2016,4,"7440",3,"mid",0,0,0
"351","agaro",2016,4,"7440",3,"bot",0,0,0
"352","agaro",2016,4,"74148",1,"top",0,0,0
"353","agaro",2016,4,"74148",1,"mid",0,0,0
"354","agaro",2016,4,"74148",1,"bot",0,0,0
"355","agaro",2016,4,"74148",2,"top",0,0,0
"356","agaro",2016,4,"74148",2,"mid",0,0,0
"357","agaro",2016,4,"74148",2,"bot",0,0,0
"358","agaro",2016,4,"74148",3,"top",0,0,0
"359","agaro",2016,4,"74148",3,"mid",0,0,0
"360","agaro",2016,4,"74148",3,"bot",12,2.1,1.4
"361","agaro",2016,4,"74110",1,"top",0,0,0
"362","agaro",2016,4,"74110",1,"mid",0,0,0
"363","agaro",2016,4,"74110",1,"bot",0,0,0
"364","agaro",2016,4,"74110",2,"top",0,0,0
"365","agaro",2016,4,"74110",2,"mid",0,0,0
"366","agaro",2016,4,"74110",2,"bot",0,0,0
"367","agaro",2016,4,"74110",3,"top",0,0,0
"368","agaro",2016,4,"74110",3,"mid",0,0,0
"369","agaro",2016,4,"74110",3,"bot",0,0,0
"370","agaro",2016,4,"F-35",1,"top",0,0,0
"371","agaro",2016,4,"F-35",1,"mid",0,0,0
"372","agaro",2016,4,"F-35",1,"bot",0,0,0
"373","agaro",2016,4,"F-35",2,"top",0,0,0
"374","agaro",2016,4,"F-35",2,"mid",0,0,0
"375","agaro",2016,4,"F-35",2,"bot",10.2,2.3,1.2
"376","agaro",2016,4,"F-35",3,"top",0,0,0
"377","agaro",2016,4,"F-35",3,"mid",0,0,0
"378","agaro",2016,4,"F-35",3,"bot",0,0,0
"379","agaro",2016,4,"7454",1,"top",6,1.2,0.3
"380","agaro",2016,4,"7454",1,"mid",0,0,0
"381","agaro",2016,4,"7454",1,"bot",0,0,0
"382","agaro",2016,4,"7454",2,"top",0,0,0
"383","agaro",2016,4,"7454",2,"mid",10.3,2.1,0.4
"384","agaro",2016,4,"7454",2,"bot",0,0,0
"385","agaro",2016,4,"7454",3,"top",0,0,0
"386","agaro",2016,4,"7454",3,"mid",0,0,0
"387","agaro",2016,4,"7454",3,"bot",12.3,3.1,2.3
"388","agaro",2016,4,"74112",1,"top",0,0,0
"389","agaro",2016,4,"74112",1,"mid",0,0,0
"390","agaro",2016,4,"74112",1,"bot",0,0,0
"391","agaro",2016,4,"74112",2,"top",0,0,0
"392","agaro",2016,4,"74112",2,"mid",0,0,0
"393","agaro",2016,4,"74112",2,"bot",11,2.1,2.1
"394","agaro",2016,4,"74112",3,"top",0,0,0
"395","agaro",2016,4,"74112",3,"mid",0,0,0
"396","agaro",2016,4,"74112",3,"bot",0,0,0
"397","agaro",2016,5,"74140",1,"top",0,0,0
"398","agaro",2016,5,"74140",1,"mid",0,0,0
"399","agaro",2016,5,"74140",1,"bot",4.2,1.2,0.45
"400","agaro",2016,5,"74140",2,"top",0,0,0
"401","agaro",2016,5,"74140",2,"mid",2.39,1.02136752136752,0.840585470085468
"402","agaro",2016,5,"74140",2,"bot",5.4,2.1,0.87
"403","agaro",2016,5,"74140",3,"top",0,0,0
"404","agaro",2016,5,"74140",3,"mid",0,0,0
"405","agaro",2016,5,"74140",3,"bot",0,0,0
"406","agaro",2016,5,"F-59",1,"top",0,0,0
"407","agaro",2016,5,"F-59",1,"mid",0,0,0
"408","agaro",2016,5,"F-59",1,"bot",0,0,0
"409","agaro",2016,5,"F-59",2,"top",0,0,0
"410","agaro",2016,5,"F-59",2,"mid",0,0,0
"411","agaro",2016,5,"F-59",2,"bot",0,0,0
"412","agaro",2016,5,"F-59",3,"top",0,0,0
"413","agaro",2016,5,"F-59",3,"mid",0,0,0
"414","agaro",2016,5,"F-59",3,"bot",0,0,0
"415","agaro",2016,5,"L-03",1,"top",0,0,0
"416","agaro",2016,5,"L-03",1,"mid",0,0,0
"417","agaro",2016,5,"L-03",1,"bot",0,0,0
"418","agaro",2016,5,"L-03",2,"top",0,0,0
"419","agaro",2016,5,"L-03",2,"mid",0,0,0
"420","agaro",2016,5,"L-03",2,"bot",0,0,0
